#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-12T16:31:21 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-12T16:31:21	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=200&-order=I&-out.src=J/A+A/674/A172/pn-0-11&-source=J/A+A/674/A172/pn-0-11&-out=Line&-out=WaveLab&-out=WaveObs&-out=e_WaveObs&-out=Flux&-out=e_Flux&-out=Width&-out=e_Width&-out=Flag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36740172
#Name: J/A+A/674/A172
#Title: Euclid prep. XXVII. UV-NIR spectral atlas (Euclid Coll., 2023)
#INFO	ivoid=ivo://cds.vizier/j/a+a/674/a172	    IVOID of underlying data collection
#INFO	creator=Euclid Collaboration: Paterson K.	    First author or institution
#INFO	cites=bibcode:2023A&A...674A.172E	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/674/A172	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36740172	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-01-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_674_A172_pn-0-11:
#Name: J/A+A/674/A172/pn-0-11
#Title: Spectral atlas of LMC-SMP-58
#Column	Line	(a12)	Best identification of line	[ucd=meta.id;spect.line]
#Column	WaveLab	(F9.3)	Laboratory vacuum wavelength	[ucd=em.wl]
#Column	WaveObs	(F19.13)	Observed heliocentric vacuum wavelength	[ucd=em.wl]
#Column	e_WaveObs	(D23.16)	? Error on measured wavelength	[ucd=stat.error]
#Column	Flux	(D23.16)	Integrated line fluxes (erg/cm^2^/s)	[ucd=phot.flux;spect.line]
#Column	e_Flux	(D23.16)	? Error on fluxes (erg/cm^2^/s)	[ucd=stat.error;phot.flux]
#Column	Width	(F20.17)	FWHM of line	[ucd=spect.line.width;spect.line]
#Column	e_Width	(D23.16)	? Error on FWHM	[ucd=stat.error;spect.line.width]
#Column	Flag	(F4.1)	[0/2] Goodness of flux flag	[ucd=meta.code.error]
Line	WaveLab	WaveObs	e_WaveObs	Flux	e_Flux	Width	e_Width	Flag
 	0.1nm	0.1nm	0.1nm	mW/m2	mW/m2	0.1nm	0.1nm	
------------	---------	-------------------	-----------------------	-----------------------	-----------------------	--------------------	-----------------------	----
H23         	 3674.810	 3678.1712625807909	 1.6166667829327774e-01	 1.4586597533766370e-15	 1.2907588086604814e-15	 0.31578151770944296	 1.7265516956054169e-01	 0.0
H22         	 3677.420	 3680.7582285672379	 8.9415648797725344e-02	 8.3144038817230403e-16	 1.0338263112659629e-15	 0.18618210960003787	 9.3221696164017306e-02	 0.0
H21         	 3680.410	 3683.6932412419096	 3.3749747702702164e-02	 2.1750783376095378e-15	 1.2214069983974125e-15	 0.30832517956144651	 3.5909927228764245e-02	 0.0
H20         	 3683.860	 3687.1826001915611	 2.9580119151754469e-02	 2.5141435963737110e-15	 1.2934675646961997e-15	 0.34765977626334787	 3.1796354290055596e-02	 0.0
H19         	 3687.890	 3691.2013541134006	 7.9452345990331796e-02	 2.3139144229179974e-15	 1.1287847340826487e-15	 0.29411490707694826	 8.0168117638989164e-02	 0.0
H18         	 3692.610	 3696.0110100539637	 8.1033446032304557e-02	 2.6485601815983333e-15	 1.0805895769205006e-15	 0.30912688978887432	 8.1796583947320381e-02	 0.0
H17         	 3698.210	 3701.5603536655790	 8.0655468814797834e-02	 2.7800869532164442e-15	 1.0346603704845654e-15	 0.30111146882552198	 8.1363340483640703e-02	 0.0
H16         	 3704.910	 3708.2973064796470	 8.4710303045341925e-02	 2.6175535619379349e-15	 1.0453643860194853e-15	 0.32079428362274015	 8.5513560622205692e-02	 0.0
HeI         	 3706.060	 3709.4060155379493	 3.2615407537810365e-02	 1.3182079399159038e-15	 1.0315325644878640e-15	 0.33537848860822306	 3.6662858159480734e-02	 0.0
H15         	 3713.030	 3716.4087332333606	 7.1275682501744944e-02	 3.8422839810614982e-15	 9.5482300101068352e-16	 0.29983795465936536	 7.1593582688208063e-02	 0.0
H14         	 3723.000	 3726.3245898346363	 9.4431705326966917e-02	 6.5106260413320356e-15	 9.4759724683309202e-16	 0.29970622056653101	 9.4267163649534955e-02	 0.0
[OII]       	 3727.090	 3730.5185475401790	 3.4177574419467054e-02	 1.2561123371105802e-14	 9.3269308296579418e-16	 0.29271716318173968	 3.3627462150737433e-02	 0.0
[OII]       	 3729.880	 3733.2773030598605	 1.4512656305170626e-01	 3.7698910717786944e-15	 8.6743532826170496e-16	 0.25280263743170800	 1.4506610050331908e-01	 0.0
H13         	 3735.440	 3738.8370742500247	 1.0513021613897601e-01	 5.6189637964567817e-15	 9.1251576580607391e-16	 0.30399529818648535	 1.0526909531734310e-01	 0.0
